two_theta_deg,intensity_syagrus_raw,intensity_typha_raw,syagrus_bgsub_norm,typha_bgsub_norm,syagrus_plot,typha_plot
10.255,9841,9960,0.08263665594855306,0.1293800539083558,0.23263665594855304,-0.5206199460916442
10.281,9980,9940,0.13344051446945338,0.12167886022333461,0.2834405144694534,-0.5283211397766654
10.307,9821,9940,0.09485530546623794,0.12167886022333461,0.24485530546623793,-0.5283211397766654
10.333,9860,9960,0.11993569131832797,0.1293800539083558,0.26993569131832795,-0.5206199460916442
10.359,9920,10100,0.14565916398713827,0.19098960338852522,0.29565916398713826,-0.4590103966114748
10.385,10100,10000,0.20353697749196142,0.15248363496341932,0.35353697749196145,-0.4975163650365807
10.411,9960,10080,0.1585209003215434,0.19098960338852522,0.3085209003215434,-0.4590103966114748
10.437,10100,10080,0.20964630225080386,0.20600693107431653,0.35964630225080385,-0.44399306892568347
10.463,9980,10100,0.17749196141479098,0.2210242587601078,0.327491961414791,-0.42897574123989224
10.489,9940,10100,0.18938906752411575,0.2210242587601078,0.33938906752411574,-0.42897574123989224
10.515,9960,9980,0.20192926045016077,0.18983442433577205,0.35192926045016076,-0.460165575664228
10.541,10000,10140,0.23344051446945338,0.27416249518675395,0.3834405144694534,-0.37583750481324607
10.567,10201,9960,0.3167202572347267,0.21216788602233347,0.46672025723472665,-0.4378321139776665
10.593,10060,10282,0.28360128617363345,0.34347323835194454,0.43360128617363347,-0.3065267616480555
10.619,10100,10020,0.2964630225080386,0.25028879476318827,0.4464630225080386,-0.39971120523681175
10.645,10000,10221,0.2707395498392283,0.3423180592991914,0.42073954983922834,-0.3076819407008086
10.671,10040,10302,0.2897106109324759,0.37350789372352716,0.4397106109324759,-0.27649210627647286
10.697,9940,10343,0.27588424437299036,0.411628802464382,0.42588424437299033,-0.23837119753561803
10.723,9860,10343,0.25016077170418005,0.411628802464382,0.4001607717041801,-0.23837119753561803
10.749,10080,10221,0.32090032154340836,0.3869849826723142,0.47090032154340833,-0.26301501732768584
10.775,10060,10161,0.3327974276527331,0.3862148633038121,0.48279742765273315,-0.2637851366961879
10.801,10080,10262,0.34533762057877815,0.4397381594147093,0.49533762057877817,-0.21026184058529074
10.827,10040,10506,0.33247588424437297,0.5336927223719676,0.48247588424437293,-0.11630727762803239
10.853,10140,10527,0.3707395498392283,0.5564112437427802,0.5207395498392283,-0.09358875625721985
10.879,10161,10404,0.39581993569131835,0.5090489025798999,0.5458199356913184,-0.14095109742010015
10.905,10241,10445,0.4337620578778135,0.5321524836349634,0.5837620578778135,-0.11784751636503665
10.931,10161,10424,0.4138263665594855,0.5386984982672314,0.5638263665594855,-0.11130150173276865
10.957,10221,10445,0.43922829581993567,0.5467847516365036,0.5892282958199356,-0.10321524836349638
10.983,10201,10445,0.43890675241157556,0.568733153638814,0.5889067524115755,-0.08126684636118597
11.009,10282,10650,0.47106109324758844,0.6476703889102811,0.6210610932475884,-0.0023296110897189637
11.035,10201,10445,0.445016077170418,0.6049287639584136,0.595016077170418,-0.04507123604158647
11.061,10140,10588,0.4315112540192926,0.6819407008086253,0.5815112540192926,0.03194070080862532
11.087,10060,10692,0.4057877813504823,0.7293030419715055,0.5557877813504823,0.0793030419715055
11.113,10080,10754,0.4122186495176849,0.7889872930304197,0.5622186495176849,0.13898729303041968
11.139,10161,10671,0.4562700964630225,0.7570273392375818,0.6062700964630225,0.10702733923758179
11.165,10120,10630,0.44308681672025724,0.7412398921832885,0.5930868167202572,0.09123989218328843
11.191,10201,10671,0.47491961414790995,0.7570273392375818,0.62491961414791,0.10702733923758179
11.217,10404,10671,0.5401929260450161,0.7570273392375818,0.6901929260450161,0.10702733923758179
11.243,10404,10733,0.5463022508038585,0.7882171736619176,0.6963022508038585,0.13821717366191755
11.269,10282,10588,0.5131832797427652,0.7466307277628033,0.6631832797427653,0.09663072776280324
11.295,10282,10568,0.5131832797427652,0.7389295340777821,0.6631832797427653,0.08892953407778204
11.321,10262,10588,0.5067524115755627,0.7539468617635734,0.6567524115755627,0.10394686176357337
11.347,10241,10733,0.5,0.8525221409318444,0.65,0.2025221409318444
11.373,10302,10754,0.5196141479099678,0.8606083943011167,0.6696141479099679,0.21060839430111666
11.399,10221,10692,0.49356913183279744,0.8367346938775511,0.6435691318327974,0.18673469387755104
11.425,10181,10733,0.4864951768488746,0.8594532152483635,0.6364951768488746,0.20945321524836347
11.451,10282,10795,0.5189710610932476,0.8975741239892183,0.6689710610932477,0.2475741239892183
11.477,10282,10816,0.52508038585209,0.9125914516750097,0.6750803858520901,0.26259145167500964
11.503,10323,10733,0.5382636655948553,0.894878706199461,0.6882636655948553,0.24487870619946095
11.529,10323,10795,0.5501607717041801,0.9256834809395457,0.7001607717041801,0.27568348093954564
11.555,10302,10816,0.5434083601286174,0.9337697343088178,0.6934083601286174,0.2837697343088178
11.581,10241,10795,0.5237942122186495,0.9329996149403158,0.6737942122186495,0.2829996149403158
11.607,10201,10920,0.5170418006430868,0.9880631497882172,0.6670418006430868,0.33806314978821717
11.633,10262,10899,0.5366559485530547,0.9799768964189449,0.6866559485530547,0.3299768964189449
11.659,10302,10795,0.5553054662379421,0.954177897574124,0.7053054662379421,0.30417789757412395
11.685,10241,10795,0.5418006430868167,0.954177897574124,0.6918006430868168,0.30417789757412395
11.711,10181,10754,0.522508038585209,0.9383904505198306,0.672508038585209,0.2883904505198306
11.737,10201,10774,0.5289389067524116,0.9460916442048517,0.6789389067524116,0.2960916442048517
11.763,10181,10878,0.522508038585209,1.0,0.672508038585209,0.35
11.789,10302,10754,0.5614147909967846,0.9522525991528686,0.7114147909967846,0.3022525991528686
11.815,10323,10671,0.5681672025723473,0.9272237196765498,0.7181672025723473,0.2772237196765498
11.841,10181,10671,0.5282958199356913,0.9272237196765498,0.6782958199356913,0.2772237196765498
11.867,10161,10795,0.5218649517684888,0.9749711205236812,0.6718649517684888,0.32497112052368116
11.893,10282,10774,0.5607717041800643,0.973815941470928,0.7107717041800643,0.32381594147092796
11.919,10120,10692,0.5086816720257235,0.9422410473623412,0.6586816720257235,0.29224104736234113
11.945,10020,10630,0.48263665594855304,0.9183673469387755,0.632636655948553,0.2683673469387755
11.971,10040,10486,0.4890675241157556,0.8840970350404312,0.6390675241157556,0.23409703504043122
11.997,9940,10671,0.4627009646302251,0.9553330766268772,0.612700964630225,0.30533307662687714
12.023,10040,10692,0.49485530546623796,0.9634193299961494,0.6448553054662379,0.3134193299961494
12.049,10020,10671,0.4884244372990354,0.9691952252599153,0.6384244372990354,0.3191952252599153
12.075,9980,10588,0.4816720257234727,0.9441663457835965,0.6316720257234727,0.29416634578359646
12.101,10040,10486,0.5067524115755627,0.9118213323065075,0.6567524115755627,0.2618213323065075
12.127,10060,10465,0.5131832797427652,0.9175972275702734,0.6631832797427653,0.2675972275702734
12.153,9980,10486,0.4932475884244373,0.9256834809395457,0.6432475884244373,0.27568348093954564
12.179,9821,10445,0.44212218649517687,0.9098960338852522,0.5921221864951769,0.2598960338852522
12.205,9860,10445,0.45466237942122184,0.9098960338852522,0.6046623794212218,0.2598960338852522
12.231,9920,10181,0.4739549839228296,0.8082402772429726,0.6239549839228296,0.15824027724297263
12.257,9722,10384,0.41639871382636656,0.8864073931459376,0.5663987138263665,0.23640739314593762
12.283,9781,10384,0.43536977491961415,0.8864073931459376,0.5853697749196142,0.23640739314593762
12.309,9821,10445,0.45980707395498394,0.9098960338852522,0.6098070739549839,0.2598960338852522
12.335,9761,10343,0.4405144694533762,0.8706199460916442,0.5905144694533762,0.22061994609164415
12.361,9702,10262,0.42765273311897106,0.8394301116673084,0.577652733118971,0.1894301116673084
12.387,9821,10020,0.46591639871382634,0.7462456680785522,0.6159163987138263,0.09624566807855217
12.413,9860,10161,0.47845659163987136,0.8005390835579514,0.6284565916398713,0.15053908355795143
12.439,9643,10120,0.4086816720257235,0.7916827108201772,0.5586816720257235,0.14168271082017714
12.465,9624,10161,0.40836012861736337,0.8074701578744705,0.5583601286173634,0.1574701578744705
12.491,9624,9960,0.40836012861736337,0.7508663842895649,0.5583601286173634,0.10086638428956485
12.517,9526,9960,0.37684887459807076,0.7508663842895649,0.5268488745980707,0.10086638428956485
12.543,9663,9980,0.4266881028938907,0.7724297266076242,0.5766881028938907,0.12242972660762419
12.569,9584,10000,0.4012861736334405,0.7801309202926454,0.5512861736334405,0.1301309202926454
12.595,9722,9761,0.45755627009646305,0.6881016557566423,0.6075562700964631,0.03810165575664226
12.621,9584,9841,0.4189710610932476,0.725452445128995,0.5689710610932476,0.07545244512899496
12.647,9565,9940,0.41864951768488745,0.7705044281863689,0.5686495176848875,0.12050442818636886
12.673,9487,9860,0.3935691318327974,0.7396996534462842,0.5435691318327974,0.08969965344628417
12.699,9448,9624,0.38681672025723474,0.6488255679630343,0.5368167202572347,-0.0011744320369657668
12.725,9428,9663,0.3803858520900322,0.6707739699653447,0.5303858520900322,0.02077396996534464
12.751,9467,9604,0.3929260450160772,0.6549865229110512,0.5429260450160772,0.004986522911051172
