Criado como novo conjunto de dados;Amostra 007 por Administrator data sexta-feira, julho 11 2025
cm-1;%T
3334,00;55,86
3333,00;55,90
3332,00;55,94
3331,00;55,97
3330,00;56,01
3329,00;56,04
3328,00;56,07
3327,00;56,10
3326,00;56,12
3325,00;56,15
3324,00;56,19
3323,00;56,22
3322,00;56,26
3321,00;56,29
3320,00;56,32
3319,00;56,35
3318,00;56,37
3317,00;56,40
3316,00;56,43
3315,00;56,46
3314,00;56,49
3313,00;56,51
3312,00;56,53
3311,00;56,55
3310,00;56,56
3309,00;56,58
3308,00;56,60
3307,00;56,62
3306,00;56,64
3305,00;56,66
3304,00;56,68
3303,00;56,70
3302,00;56,73
3301,00;56,75
3300,00;56,77
3299,00;56,79
3298,00;56,81
3297,00;56,83
3296,00;56,85
3295,00;56,86
3294,00;56,87
3293,00;56,88
3292,00;56,90
3291,00;56,91
3290,00;56,93
3289,00;56,95
3288,00;56,97
3287,00;56,98
3286,00;57,00
3285,00;57,02
3284,00;57,03
3283,00;57,05
3282,00;57,06
3281,00;57,07
3280,00;57,09
3279,00;57,11
3278,00;57,13
3277,00;57,14
3276,00;57,16
3275,00;57,17
3274,00;57,18
3273,00;57,19
3272,00;57,20
3271,00;57,21
3270,00;57,23
3269,00;57,25
3268,00;57,27
3267,00;57,29
3266,00;57,31
3265,00;57,33
3264,00;57,34
3263,00;57,35
3262,00;57,37
3261,00;57,38
3260,00;57,40
3259,00;57,42
3258,00;57,44
3257,00;57,45
3256,00;57,47
3255,00;57,49
3254,00;57,50
3253,00;57,52
3252,00;57,54
3251,00;57,55
3250,00;57,57
3249,00;57,58
3248,00;57,59
3247,00;57,61
3246,00;57,62
3245,00;57,64
3244,00;57,66
3243,00;57,67
3242,00;57,69
3241,00;57,70
3240,00;57,71
3239,00;57,73
3238,00;57,75
3237,00;57,77
3236,00;57,79
3235,00;57,80
3234,00;57,82
3233,00;57,85
3232,00;57,88
3231,00;57,91
3230,00;57,95
3229,00;57,98
3228,00;58,01
3227,00;58,05
3226,00;58,08
3225,00;58,11
3224,00;58,14
3223,00;58,17
3222,00;58,20
3221,00;58,23
3220,00;58,26
3219,00;58,29
3218,00;58,32
3217,00;58,35
3216,00;58,37
3215,00;58,40
3214,00;58,42
3213,00;58,44
3212,00;58,47
3211,00;58,50
3210,00;58,52
3209,00;58,55
3208,00;58,57
3207,00;58,59
3206,00;58,62
3205,00;58,64
3204,00;58,66
3203,00;58,68
3202,00;58,71
3201,00;58,73
3200,00;58,75
3199,00;58,78
3198,00;58,80
3197,00;58,83
3196,00;58,85
3195,00;58,87
3194,00;58,90
3193,00;58,92
3192,00;58,94
3191,00;58,96
3190,00;58,98
3189,00;59,01
3188,00;59,03
3187,00;59,05
3186,00;59,07
3185,00;59,09
3184,00;59,12
3183,00;59,14
3182,00;59,16
3181,00;59,18
3180,00;59,20
3179,00;59,23
3178,00;59,25
3177,00;59,27
3176,00;59,29
3175,00;59,32
3174,00;59,34
3173,00;59,36
